,param1,param2,vel,label
0,-513.9448289907729,-41.83432827903016,43774.395892335146,2
1,-454.781988440064,-27.48950899036572,35481.06411673256,1
2,-458.6027407955582,-35.10429344673844,48044.1533356015,2
10,-648.1604259281881,-40.66757183352456,137744.67795743627,2
15,-507.74198062678533,-36.639572546325326,49594.549382340854,1
19,-342.1088132097077,-19.046770234057476,58268.378168988056,1
21,-308.67746520808805,-28.082951760713513,30355.487043701847,2
24,-641.2494945916341,-36.817084779930155,94429.51135335404,1
25,-446.0480742152348,-26.53929147171334,38021.150547524245,1
28,-508.3685329353072,-35.920237508951686,101139.77929864886,2
3,-408.47667308293506,-44.240182972629555,44056.52219259376,2
4,-610.8562448542908,-14.509448563836486,63318.24699083999,0
8,-454.66645396505896,-36.826449061294625,42917.88601772439,2
9,-433.8733275316951,-17.662245307166813,39455.0001848036,0
12,-219.6603892301385,-8.735254636674654,12605.462601100016,0
13,-461.479695338274,-15.286969430576391,26874.326280576624,0
16,-604.767751815748,-33.50984349982173,92928.79584724414,0
17,-321.2040640093778,-30.69499737013666,81810.0738692289,2
18,-244.7233119904522,-19.4650595714902,17130.552637251727,2
27,-231.2571691078807,-12.808674748668182,20800.794999336515,2
